"0","#| code-fold: true"
"0","#| code-summary: ""Voir la correction"""
"0","x[x>0]"
"1"," [1]"
"1"," 1.85574909"
"1"," 0.54117884"
"1"," 0.27666158"
"1"," 0.41737962"
"1","
"
"1"," [5]"
"1"," 2.58399725"
"1"," 1.51818339"
"1"," 0.55913559"
"1"," 0.20385387"
"1","
"
"1"," [9]"
"1"," 1.76756778"
"1"," 1.75913010"
"1"," 0.46061773"
"1"," 0.25167509"
"1","
"
"1","[13]"
"1"," 1.77391253"
"1"," 0.47200392"
"1"," 2.06245528"
"1"," 0.25415520"
"1","
"
"1","[17]"
"1"," 0.63689839"
"1"," 0.28300890"
"1"," 0.53015940"
"1"," 0.90172588"
"1","
"
"1","[21]"
"1"," 0.26542640"
"1"," 0.50075054"
"1"," 0.87440431"
"1"," 1.04268008"
"1","
"
"1","[25]"
"1"," 0.86695391"
"1"," 0.14066352"
"1"," 0.48631277"
"1"," 1.66707572"
"1","
"
"1","[29]"
"1"," 0.31637381"
"1"," 0.09110898"
"1"," 0.72501472"
"1"," 1.63857250"
"1","
"
"1","[33]"
"1"," 1.62068549"
"1"," 0.61691182"
"1"," 0.78406055"
"1"," 1.11009853"
"1","
"
"1","[37]"
"1"," 0.14399290"
"1"," 0.07630757"
"1"," 0.37620167"
"1"," 0.18043558"
"1","
"
"1","[41]"
"1"," 0.68936825"
"1"," 0.04290168"
"1"," 1.78154160"
"1"," 0.53184204"
"1","
"
"1","[45]"
"1"," 2.37923900"
"1"," 0.38853313"
"1"," 0.51102030"
"1"," 0.15956416"
"1","
"
"1","[49]"
"1"," 0.26473857"
"1","
"
